"id_agente","tratamiento","edad","mujer","experiencia","zona","visitas_previas","visitas","indice_larvario"
207,1,53,1,8,"urbana",41,43,17.6
208,0,36,1,4,"rural",38,34,10.6
209,0,35,1,5,"rural",36,28,10.6
210,1,38,0,8,"urbana",43,31,11.3
211,0,45,1,8,"rural",29,24,18.3
212,0,27,1,7,"rural",34,12,16.3
213,1,52,1,6,"rural",43,25,11.5
214,1,37,1,8,"rural",26,22,6.5
215,1,38,1,9,"rural",36,45,5.3
216,0,44,1,7,"rural",34,36,10.4
217,0,37,1,5,"urbana",33,37,18.7
218,1,37,1,6,"urbana",39,35,12.9
219,0,43,1,9,"urbana",37,23,13.3
220,0,33,1,6,"urbana",29,40,14.9
221,1,32,1,7,"rural",26,39,5.2
222,1,49,1,12,"urbana",34,31,6.5
223,1,37,1,11,"rural",31,38,9.2
224,1,39,1,5,"rural",29,42,10.8
225,1,45,1,12,"urbana",32,35,0.7
226,1,34,1,11,"rural",28,35,16.5
227,0,42,1,6,"urbana",35,42,8.5
228,1,40,1,8,"rural",36,36,14.3
229,1,32,1,8,"urbana",36,44,11.6
230,0,51,1,8,"urbana",34,31,17.6
231,1,41,1,5,"rural",39,38,1.6
232,0,37,1,8,"rural",41,39,19.4
233,1,38,0,8,"urbana",31,29,4.8
234,1,47,1,7,"rural",34,54,8.1
235,0,40,1,5,"rural",36,35,9.4
236,1,45,1,7,"urbana",37,37,9.4
237,1,35,1,7,"urbana",28,53,14.1
238,0,27,1,6,"urbana",27,31,6.4
239,0,34,0,5,"urbana",34,29,8.7
240,1,49,0,9,"urbana",38,36,5.7
241,0,42,1,8,"rural",35,46,6.8
242,0,40,1,1,"urbana",29,30,18.4
243,1,37,1,10,"urbana",27,50,7.3
244,1,35,1,9,"urbana",47,36,11
245,0,45,1,6,"rural",25,18,9.7
246,0,50,1,6,"rural",39,44,14.4
247,1,32,1,7,"urbana",38,55,9
248,1,45,0,5,"rural",39,34,3.9
249,0,41,0,9,"urbana",30,31,7.5
250,1,35,1,5,"urbana",40,43,13.8
251,1,37,0,7,"rural",29,41,0
252,1,42,1,10,"urbana",49,47,5.7
253,1,42,1,8,"rural",36,30,5.8
254,0,37,1,4,"rural",42,38,13.4
255,1,30,0,4,"urbana",36,34,8.1
256,0,41,0,8,"urbana",27,19,20.9
257,0,43,0,11,"urbana",35,41,22.6
258,1,35,1,9,"rural",40,40,16.4
259,0,38,1,4,"rural",48,53,17
260,1,53,1,9,"urbana",34,35,7.5
261,1,25,1,12,"urbana",37,27,15.3
262,0,29,1,6,"rural",39,32,15.2
263,1,40,1,9,"urbana",31,48,7.3
264,0,42,1,4,"urbana",35,34,13.2
265,1,37,1,4,"rural",35,37,16
266,0,34,1,7,"rural",40,59,3.9
267,1,36,0,7,"urbana",21,50,0.2
268,0,40,0,7,"urbana",35,38,10.6
269,1,29,0,11,"urbana",39,29,12
270,0,43,1,9,"rural",26,24,12.3
271,0,47,0,6,"urbana",30,32,16.6
272,0,33,0,9,"rural",35,45,18.3
273,0,47,1,9,"rural",36,35,13.2
274,1,33,1,6,"rural",40,36,5.2
275,0,28,1,9,"rural",33,46,8
276,1,46,1,6,"urbana",35,34,13
277,1,43,1,5,"urbana",26,40,19.5
278,0,40,1,6,"rural",30,38,12.6
279,0,40,1,7,"rural",31,32,16.4
280,0,40,0,5,"urbana",26,30,12.6
281,0,38,1,4,"urbana",29,30,14.8
282,1,30,0,2,"rural",35,42,15.1
283,1,50,0,3,"urbana",32,43,9.7
284,0,33,1,6,"urbana",21,16,15
285,0,45,0,3,"rural",39,36,15.2
286,1,34,1,5,"urbana",37,63,10.8
287,1,40,1,5,"urbana",35,69,0
288,0,38,0,5,"urbana",46,61,15.7
289,0,38,1,4,"rural",39,20,7.9
290,0,45,1,14,"urbana",42,34,12.1
291,1,33,1,5,"rural",36,21,6.9
292,1,40,1,3,"rural",30,30,2.4
293,0,40,1,8,"urbana",31,37,8
294,1,41,1,11,"rural",35,29,12.8
295,0,34,1,5,"rural",35,26,14.7
296,1,28,0,4,"rural",35,33,8.6
297,1,47,1,7,"rural",44,43,7.6
298,1,42,0,8,"rural",31,34,8.4
299,1,24,1,7,"rural",35,50,10.1
300,1,40,1,9,"urbana",33,37,6.4
301,0,42,0,4,"urbana",45,40,12.8
302,0,37,0,6,"rural",35,34,14.3
303,1,26,1,7,"urbana",52,67,8.6
304,0,38,1,4,"rural",22,22,12.9
305,1,29,0,10,"rural",33,51,20.1
306,0,35,1,4,"urbana",43,43,11.6
307,1,36,1,10,"urbana",40,30,7.5
308,1,38,0,2,"rural",44,51,8.2
309,1,55,1,7,"rural",30,37,9.9
310,0,33,1,6,"rural",42,47,11.4
311,0,31,1,10,"urbana",50,41,10
312,1,33,0,7,"urbana",39,24,9.9
313,1,33,1,10,"urbana",23,39,10.4
314,1,28,0,10,"urbana",39,38,10.5
315,1,46,1,9,"rural",35,37,15.2
316,0,38,1,5,"urbana",53,47,12.2
317,0,46,0,6,"urbana",22,32,14
318,1,39,1,7,"urbana",41,46,5.1
319,0,43,0,6,"rural",40,40,11.4
320,0,47,0,7,"urbana",40,33,16.1
321,0,34,1,5,"rural",30,26,16
322,1,34,0,10,"rural",32,41,11.8
323,0,43,1,9,"urbana",33,22,13.4
324,1,41,1,1,"urbana",38,40,9.2
325,1,31,1,13,"rural",41,27,4.4
326,0,40,0,11,"rural",33,15,10.3
327,1,39,1,8,"urbana",29,30,8.5
328,0,41,1,6,"rural",46,48,18.5
329,0,32,1,6,"rural",27,29,8.6
330,0,56,1,7,"urbana",32,33,16.3
331,1,31,0,7,"rural",36,44,5.2
332,1,37,1,4,"rural",41,44,14
333,1,36,0,7,"rural",31,37,9.5
334,0,36,0,12,"rural",34,35,13
335,1,38,1,8,"urbana",34,32,14.1
336,0,48,0,8,"rural",33,34,5.5
337,0,39,1,12,"urbana",26,18,3.6
338,0,37,1,8,"rural",25,41,12.5
339,0,41,0,11,"urbana",46,21,14
340,1,40,0,10,"rural",32,31,9.9
341,0,49,1,9,"rural",29,28,10.5
342,1,31,0,12,"urbana",32,38,12.5
343,0,39,1,8,"urbana",38,30,14.1
344,1,37,0,12,"rural",35,47,13.3
345,0,30,0,12,"urbana",38,26,17.1
346,1,41,1,4,"urbana",28,29,8.4
347,1,57,1,11,"urbana",26,19,11
348,1,49,1,13,"urbana",33,36,8
349,0,37,1,5,"urbana",37,35,14
350,1,38,0,4,"urbana",26,41,12
351,1,28,1,5,"urbana",32,33,4.1
352,1,28,1,12,"urbana",28,33,8.1
353,1,41,1,13,"urbana",34,54,4.7
354,0,33,1,5,"urbana",26,45,7.5
355,1,35,1,1,"urbana",35,35,4.5
356,0,35,0,8,"urbana",23,28,13
357,1,18,1,7,"rural",40,23,11.7
358,0,45,0,6,"rural",32,34,10.9
359,0,28,0,11,"rural",26,42,10.3
360,0,33,1,2,"rural",31,35,13.3
361,0,26,1,5,"rural",31,29,13.3
362,1,45,1,3,"rural",27,17,8.7
363,0,39,0,9,"urbana",33,41,7.2
364,0,42,0,6,"urbana",38,36,12.6
365,0,45,1,8,"urbana",31,33,10.4
366,0,51,1,8,"rural",30,37,8.5
367,1,35,1,9,"rural",32,32,8.1
368,0,51,1,6,"rural",36,51,9.4
369,1,30,1,6,"rural",32,51,15.1
370,1,44,1,5,"rural",40,35,10.6
371,1,39,0,9,"urbana",32,33,9.1
372,1,39,1,11,"urbana",43,50,6.5
373,0,41,1,7,"rural",31,38,7.1
374,0,42,1,7,"rural",40,46,10.7
375,0,36,1,7,"urbana",28,40,15.9
376,0,38,1,7,"urbana",28,37,12.2
377,1,29,1,6,"rural",36,27,9
378,0,35,0,9,"rural",30,23,11.7
379,0,31,1,7,"rural",34,34,11.9
380,1,43,1,7,"urbana",35,26,11.1
381,1,31,1,3,"rural",26,23,13.8
382,1,34,1,12,"urbana",45,51,5
383,0,42,1,7,"rural",41,39,11.6
384,1,31,1,7,"urbana",31,49,15.4
385,1,37,1,3,"rural",43,30,15
386,0,21,0,8,"rural",32,24,5.8
387,1,38,1,6,"urbana",31,34,4.6
388,0,36,1,8,"rural",39,41,10.2
389,0,39,1,4,"rural",46,48,5.7
390,1,33,0,6,"rural",39,45,8.4
391,0,37,1,7,"urbana",40,40,10.9
392,0,40,1,4,"rural",29,26,13.3
393,0,36,0,5,"rural",40,35,6
394,0,32,1,3,"urbana",32,35,13.5
395,1,44,0,5,"rural",34,33,7.7
396,0,45,1,2,"urbana",37,39,10.4
397,0,28,1,7,"rural",37,31,13.7
398,1,44,1,10,"rural",31,55,3.7
399,1,44,1,4,"rural",51,52,10.2
400,1,39,1,9,"urbana",33,39,10.9
