"municipio","poblacion","poblacion_c","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0030",41795,-5824,0,9,13.3,0.319,10,13.2,8.8,24.6,4.4,508,49
"M0031",71617,23998,1,10,10.7,0.248,9,15.5,4.2,28.1,5.6,547,53
"M0032",27034,-20585,0,9,6.4,0.345,9,22.1,8.4,22,3.8,410,44
"M0033",30544,-17075,0,9,12,0.386,10,18.9,3.9,20.9,4.1,425,32
"M0034",43087,-4532,0,9,12.8,0.276,9,16.7,6.7,25.4,4.7,497,41
"M0035",72274,24655,1,10,13.9,0.333,9,16.9,5.4,23.4,4.7,618,51
"M0036",48995,1376,1,10,11.3,0.379,9,17.5,10.3,24.7,3.7,576,50
"M0037",46558,-1061,0,9,15,0.381,9,23.3,7.3,20.5,5.3,459,41
"M0038",33895,-13724,0,9,13.2,0.355,9,21.9,5.3,24.5,4.4,464,31
"M0039",28558,-19061,0,9,11.6,0.481,9,26,9.5,26.6,3.5,381,45
"M0040",46872,-747,0,9,11.6,0.299,9,14.4,6.6,20.8,4,421,28
"M0041",48723,1104,1,10,11.7,0.307,10,17,6.4,29.8,4.8,613,43
"M0042",59789,12170,1,10,12.2,0.26,9,14.9,6.7,25.7,4.2,661,45
"M0043",53315,5696,1,10,11.2,0.29,9,20,6.5,27.4,4.8,573,43
"M0044",27794,-19825,0,9,11.9,0.397,9,17.7,3.3,27.2,3.9,516,39
"M0045",68239,20620,1,10,14.7,0.244,9,22.7,5.4,28,4.1,676,33
"M0046",69593,21974,1,10,11.8,0.222,9,14.4,3.8,29.1,5.5,638,57
"M0047",54073,6454,1,10,15.7,0.352,9,16.8,5.5,19.5,3.7,548,46
"M0048",59034,11415,1,10,14.5,0.216,9,16.6,7.3,27,4.1,561,55
"M0049",30022,-17597,0,9,11.7,0.291,10,19.2,8,29.4,5.4,393,35
"M0050",37578,-10041,0,9,12.6,0.398,9,18.7,10.4,22.8,4.6,482,37
"M0051",61498,13879,1,10,14.1,0.298,9,18.6,6.1,26.9,4,568,44
"M0052",37321,-10298,0,9,10.6,0.384,9,20.5,9.4,23.7,4.5,480,30
"M0053",73673,26054,1,10,16.7,0.299,9,20,7.9,27.1,4,611,50
"M0054",42046,-5573,0,9,11.3,0.425,9,20.5,9.6,23.7,4.8,455,49
"M0055",25534,-22085,0,9,11.5,0.451,9,27,6.7,18.9,4.7,421,32
"M0056",59517,11898,1,10,10.8,0.297,9,17.5,8.9,34.8,5.3,601,68
"M0057",20968,-26651,0,9,9.4,0.33,10,22.5,7.3,23.4,4.7,490,40
"M0058",63276,15657,1,10,12.3,0.274,9,18.4,4.3,27.8,4.8,627,46
"M0059",52298,4679,1,10,13.2,0.407,9,14.2,5.7,24,5.1,612,57
"M0060",32166,-15453,0,9,12.5,0.437,9,15.5,5.8,20.6,3.9,469,30
"M0061",66198,18579,1,10,11.2,0.278,9,19.9,4,32.5,4.6,546,52
"M0062",35105,-12514,0,9,12.7,0.263,10,23.7,6.9,23.4,3.6,435,38
"M0063",34350,-13269,0,9,11,0.333,9,19,7.9,24.5,4.8,452,39
"M0064",24279,-23340,0,9,13.7,0.337,9,26.3,6.5,27.5,4.4,473,39
"M0065",57360,9741,1,10,16.4,0.356,9,18.8,3.1,24.8,4.9,631,53
"M0066",65314,17695,1,10,11.8,0.326,9,16.3,6.7,32,4.8,611,44
"M0067",37154,-10465,0,9,10.6,0.301,9,21.9,9.3,20.8,3.6,428,36
"M0068",67244,19625,1,10,12.9,0.309,9,18.3,7,26.6,5.5,578,48
"M0069",26830,-20789,0,9,11.5,0.425,10,21.9,7.3,27.2,3.6,450,43
"M0070",52525,4906,1,10,17.3,0.326,9,17.2,6.1,29.1,4.7,562,35
"M0071",32313,-15306,0,9,13.1,0.432,9,23.7,7.7,18.5,5.3,412,35
"M0072",60313,12694,1,10,15.3,0.262,9,10.3,6.6,22.9,5.3,622,45
"M0073",28773,-18846,0,9,10.6,0.403,9,24.3,7.3,25,4.7,419,28
"M0074",65429,17810,1,10,12.9,0.323,9,16.9,4.8,26.3,4.1,759,36
"M0075",25340,-22279,0,9,11.2,0.499,10,22.1,7.7,15.8,4.2,455,51
"M0076",67473,19854,1,10,13.4,0.301,9,14.8,5.5,22.1,5,618,42
"M0077",21741,-25878,0,9,11.1,0.299,9,13.5,7.3,24.9,3.7,456,26
"M0078",56484,8865,1,10,10.5,0.307,9,16.1,4.1,28.4,5.7,640,51
"M0079",55441,7822,1,10,13.5,0.352,9,17.6,4.4,21.8,3.5,656,42
"M0080",41598,-6021,0,9,14,0.296,10,21,7.1,25.3,3.8,416,33
"M0081",33940,-13679,0,9,12.7,0.37,9,21.5,9.4,27.5,4.2,473,36
"M0082",31323,-16296,0,9,10.7,0.346,9,19.6,6.1,28.1,4.1,460,42
"M0083",73360,25741,1,10,15.5,0.359,10,19.5,3,27.1,5,540,50
"M0084",65793,18174,1,10,16.8,0.269,9,16.7,5.5,26.9,4.7,611,49
"M0085",45499,-2120,0,9,8.1,0.318,9,19,6.4,24.2,4.9,472,38
"M0086",42348,-5271,0,9,8.5,0.281,9,21.6,8,28.4,4.9,519,38
"M0087",32228,-15391,0,9,6.8,0.361,9,21.1,5,22.1,3.8,416,44
"M0088",31914,-15705,0,9,10.3,0.354,9,23.5,7.7,22.7,4,467,34
"M0089",22524,-25095,0,9,9.7,0.435,9,19,6.1,21.7,4.4,447,37
"M0090",60975,13356,1,10,14.9,0.386,9,14.6,8.2,29.6,3.5,588,46
"M0091",47904,285,1,10,18.1,0.339,9,18.3,4.5,31.2,4.4,529,43
"M0092",68945,21326,1,10,15.9,0.222,9,17.1,4.8,23,5.4,556,45
"M0093",46347,-1272,0,9,12.3,0.344,9,19.9,7.7,20.8,4.7,457,36
"M0094",32280,-15339,0,9,11.9,0.289,9,20.6,7.7,21.4,5.3,500,31
"M0095",40245,-7374,0,9,12.7,0.326,9,17.2,5.8,26.4,3.8,434,48
"M0096",56024,8405,1,10,12.3,0.275,9,17.1,4.8,23.5,4.1,612,44
"M0097",39759,-7860,0,9,15.5,0.339,9,25.6,7.7,23,4.3,344,40
"M0098",66020,18401,1,10,13.2,0.36,9,14.8,5.3,22.8,4.4,508,54
"M0099",35055,-12564,0,9,16.5,0.312,9,17.1,8.9,23.5,4.1,472,37
"M0100",32905,-14714,0,9,8,0.365,9,20.9,7.5,20.4,4.1,413,41
"M0101",45051,-2568,0,9,8.6,0.391,9,23.5,5.3,23,4.4,475,39
"M0102",38744,-8875,0,9,16.1,0.363,9,20,8.6,24,5.4,499,46
"M0103",71396,23777,1,10,14.9,0.254,10,10.1,5.1,23.2,5.8,544,47
"M0104",48856,1237,1,10,10.1,0.281,9,18.7,7.6,30.9,4.1,609,55
"M0105",37705,-9914,0,9,13.4,0.282,9,19.2,4.3,19.7,4.2,397,40
"M0106",70965,23346,1,10,12.6,0.293,10,14.6,5.1,28,4.5,574,50
"M0107",21028,-26591,0,9,6.8,0.375,9,20.4,8.1,20.6,3.6,459,28
"M0108",40293,-7326,0,9,13,0.371,9,22.4,6.7,22.8,5.2,470,34
"M0109",46282,-1337,0,9,11.9,0.239,9,20.9,7.2,20.6,4.9,517,30
"M0110",24703,-22916,0,9,12,0.433,9,23.4,8.3,24.5,3.8,412,24
"M0111",39499,-8120,0,9,9.6,0.372,9,21.4,7.3,26.1,4.8,518,35
"M0112",57569,9950,1,10,12.9,0.271,9,15.8,6,25.4,5.7,608,44
"M0113",69161,21542,1,10,14.5,0.354,9,18.7,5,32.5,5.5,686,41
"M0114",39452,-8167,0,9,10.4,0.427,9,18.7,7.8,22.4,4.8,482,44
"M0115",61075,13456,1,10,13,0.352,9,19.9,5.4,29,3.7,600,54
"M0116",40862,-6757,0,9,10.5,0.325,10,24.2,7.9,23.9,3.5,422,43
"M0117",30824,-16795,0,9,12.8,0.389,9,20.5,6.7,22.1,3.9,522,36
"M0118",60459,12840,1,10,14.8,0.311,10,21.8,4.6,23.3,4.7,580,55
"M0119",61527,13908,1,10,16.1,0.273,10,18.3,7.4,31.5,4.5,545,45
"M0120",58818,11199,1,10,19.1,0.313,9,15.7,4.9,31.4,4.5,649,50
"M0121",70544,22925,1,10,15,0.251,9,18.5,7.7,26.4,5,623,47
"M0122",40260,-7359,0,9,11.3,0.416,9,20.1,8.1,23.5,4.6,466,35
"M0123",36046,-11573,0,9,11.6,0.356,9,20.7,6.4,21.9,4.3,534,24
"M0124",37834,-9785,0,9,9.2,0.348,10,14.6,8.8,18.1,3.7,482,38
"M0125",41938,-5681,0,9,13.1,0.288,9,19.4,5.9,22.2,3.6,441,44
"M0126",35538,-12081,0,9,11.3,0.343,9,21.2,6.7,24.7,4.1,452,39
"M0127",53001,5382,1,10,8.4,0.288,9,14.9,5.6,25.7,3.4,565,42
"M0128",30029,-17590,0,9,11.6,0.382,9,22.5,6.9,23.7,3.7,479,45
"M0129",57213,9594,1,10,15.3,0.253,9,15.7,8.1,30,4.2,575,49
"M0130",55246,7627,1,10,14.3,0.361,9,18.3,5.8,25.5,4.2,536,51
"M0131",46641,-978,0,9,9.3,0.375,9,20.7,6.2,22.1,4.3,492,28
"M0132",34392,-13227,0,9,9.6,0.387,9,21.2,5.1,23.8,5,476,32
"M0133",42435,-5184,0,9,11.3,0.348,9,20.7,8.8,23.5,4.9,483,31
"M0134",59584,11965,1,10,14.2,0.352,9,15,7.9,24.7,4.8,641,50
"M0135",34607,-13012,0,9,11.7,0.389,9,21.3,7.4,20.8,4.3,507,43
"M0136",26672,-20947,0,9,12,0.352,9,22.5,5.9,23.3,4.4,445,28
"M0137",45931,-1688,0,9,9.5,0.281,9,17.8,4.4,22,4.7,548,36
"M0138",54673,7054,1,10,13.5,0.398,9,20.9,6.8,23.2,4.8,576,43
"M0139",51072,3453,1,10,10.5,0.303,9,17.7,5,25.8,5.1,616,47
"M0140",27595,-20024,0,9,10.9,0.397,9,21.4,8.1,17,4.2,517,31
"M0141",52496,4877,1,10,12.7,0.384,9,16.8,3.3,27.9,4.9,621,50
"M0142",39182,-8437,0,9,11.3,0.29,9,18.3,7.8,23.3,4.7,408,34
"M0143",39356,-8263,0,9,9.6,0.364,9,23,5.4,23.9,3.4,514,38
"M0144",40375,-7244,0,9,9.8,0.426,9,19.1,6,26.1,4.4,475,53
"M0145",67415,19796,1,10,10.9,0.318,9,19.1,5.7,27.5,4.4,709,59
"M0146",65281,17662,1,10,15.3,0.314,9,17.4,7.4,25.8,5.2,590,55
"M0147",40530,-7089,0,9,10.8,0.35,9,22.1,7.5,18.8,4.5,445,35
"M0148",59224,11605,1,10,12.5,0.379,9,20.6,4.9,31,4.3,601,58
"M0149",56162,8543,1,10,13.9,0.313,9,18.3,7.6,27.9,3.9,522,31
"M0150",74922,27303,1,10,14.4,0.252,9,16,3.2,26.9,4.3,629,55
"M0151",24730,-22889,0,9,11.1,0.419,9,19.8,7,24.5,4.5,468,20
"M0152",57154,9535,1,10,14.3,0.405,9,19.4,5.3,26.8,5.5,610,53
"M0153",56497,8878,1,10,9.9,0.204,9,20,4.5,29.5,5,648,50
"M0154",22996,-24623,0,9,9.3,0.415,9,20.7,9.1,27,5.2,432,29
"M0155",33128,-14491,0,9,12.7,0.383,9,23.3,6.8,23.8,3.9,500,45
"M0156",22363,-25256,0,9,14,0.386,9,21.8,8.1,22.8,4.1,434,24
"M0157",48167,548,1,10,11.8,0.377,9,19,5.1,25.7,4.4,607,36
"M0158",58121,10502,1,10,13.2,0.314,9,17.7,6.9,22.5,5,616,61
"M0159",45462,-2157,0,9,10.6,0.469,10,22,8.5,21.6,4.7,480,40
"M0160",66723,19104,1,10,10.7,0.292,10,16.2,4.9,25.9,4.5,706,39
"M0161",24689,-22930,0,9,9.2,0.41,9,21.2,8.6,23.4,4.5,440,31
"M0162",70069,22450,1,10,18.6,0.256,9,14.6,7.5,26.6,5.4,617,43
"M0163",44066,-3553,0,9,14.9,0.312,9,14.2,5.6,24.4,4.7,450,48
"M0164",74304,26685,1,10,14.7,0.201,9,22.1,7.1,31,4.7,605,53
"M0165",47626,7,1,10,12.5,0.315,9,20.6,6.3,29.1,5.4,628,37
"M0166",65194,17575,1,10,13,0.269,10,15.3,3.9,32,5.1,551,37
"M0167",42333,-5286,0,9,12.9,0.251,9,18.4,9.5,23,4.3,457,35
"M0168",34009,-13610,0,9,14.7,0.394,9,19.7,8.2,20.1,4.9,439,33
"M0169",47691,72,1,10,9.4,0.382,9,19.2,8.3,28,4.4,588,50
"M0170",39752,-7867,0,9,14.4,0.401,9,18.9,8.9,21.5,4.7,524,27
"M0171",59843,12224,1,10,12.7,0.349,9,19,6.8,28.4,5.4,618,46
"M0172",64990,17371,1,10,16.6,0.346,10,16,5.5,25.6,5,730,43
"M0173",23172,-24447,0,9,8.5,0.406,9,22.2,8.2,24.3,4.4,476,21
"M0174",34412,-13207,0,9,8.8,0.312,9,23.6,6.3,26.7,3.8,515,36
"M0175",52969,5350,1,10,13.4,0.428,9,17.4,6.6,32.4,4.3,519,47
"M0176",42802,-4817,0,9,12.5,0.432,9,18.9,8.8,18.6,3.8,460,43
"M0177",50557,2938,1,10,13.2,0.332,9,18,6.3,30.4,4.9,660,49
"M0178",34670,-12949,0,9,10.6,0.35,9,18.5,8.1,21.5,5,505,31
"M0179",33670,-13949,0,9,9.7,0.362,9,18.6,7.5,26.1,3.5,431,40
"M0180",25061,-22558,0,9,10.1,0.335,9,22.7,5.2,22.7,3.8,441,43
"M0181",74803,27184,1,10,14,0.306,10,17.5,6.1,31.5,5.9,551,47
"M0182",29199,-18420,0,9,8.3,0.331,9,19.1,7.4,22,4.4,460,40
"M0183",46993,-626,0,9,11.1,0.358,9,20.8,5.5,27.3,5,534,52
"M0184",25538,-22081,0,9,7.1,0.397,9,22.3,6.1,25.2,3.8,499,35
"M0185",22116,-25503,0,9,8.4,0.419,9,22.6,9.6,20.8,3.8,448,26
"M0186",41632,-5987,0,9,11.6,0.357,9,17.9,5.6,21.9,3.9,480,27
"M0187",41796,-5823,0,9,11.5,0.364,10,25.4,7.7,26.4,4.6,431,33
"M0188",35050,-12569,0,9,12.1,0.349,9,21.6,6.2,23.8,4.4,386,39
"M0189",55715,8096,1,10,10.6,0.357,9,11.7,6.3,30.3,5,658,47
"M0190",68012,20393,1,10,14.1,0.397,9,16.1,4.9,27.4,4.5,569,47
"M0191",64228,16609,1,10,14.7,0.282,9,17.5,7.5,29.2,5.2,674,44
"M0192",39880,-7739,0,9,9.2,0.263,9,19.3,7.8,21.1,5,420,36
"M0193",25465,-22154,0,9,13.5,0.355,9,19.5,7.7,21.9,4.3,420,36
"M0194",74981,27362,1,10,12.4,0.19,9,17,6,24,4.1,632,60
"M0195",73940,26321,1,10,11.2,0.228,9,14.6,4.4,23.7,5.5,651,61
"M0196",64817,17198,1,10,14.3,0.311,9,14.7,3.1,23.6,4.3,623,59
"M0197",43689,-3930,0,9,11.8,0.356,9,24,5,22.2,4.4,470,44
"M0198",35335,-12284,0,9,13.7,0.361,9,20.5,8.4,21.9,4.6,486,32
"M0199",46162,-1457,0,9,9.6,0.365,9,19.4,5.6,23.5,3.9,562,35
"M0200",20402,-27217,0,9,11.2,0.461,9,18.5,5.8,20.7,4.7,440,31
"M0201",64158,16539,1,10,12.7,0.26,9,19.3,5.1,25.1,5,674,39
"M0202",28185,-19434,0,9,9.7,0.326,10,19.1,8.4,27.4,4.4,444,37
"M0203",49395,1776,1,10,14.3,0.297,9,18,4.9,27.6,3.7,576,44
"M0204",69151,21532,1,10,15.9,0.225,9,15.9,6.4,31.4,4.2,534,43
"M0205",48213,594,1,10,14,0.362,9,17.5,6.7,30.4,5.6,620,57
"M0206",65107,17488,1,10,9,0.265,9,21.9,3.4,30.6,3.7,579,43
"M0207",73249,25630,1,10,16.1,0.33,9,13.1,5.4,31.8,5.6,579,57
"M0208",28914,-18705,0,9,10.2,0.341,9,21.1,7.1,15.5,5.4,469,28
"M0209",49639,2020,1,10,13.7,0.366,9,21.7,6.2,31.1,4,611,50
"M0210",40193,-7426,0,9,12.2,0.388,9,22.2,5.7,21.5,4.1,462,40
"M0211",41830,-5789,0,9,9.9,0.343,9,21.3,8.2,25.8,4.1,550,48
"M0212",68491,20872,1,10,15.7,0.224,9,15,6.5,24.6,4.5,579,51
"M0213",31926,-15693,0,9,8.4,0.508,9,19,7.7,20.7,5.2,483,36
"M0214",74555,26936,1,10,14.8,0.304,9,16.5,4.4,25.3,4.6,663,44
"M0215",63866,16247,1,10,17.8,0.247,9,17.5,5.2,29,5,669,53
"M0216",45922,-1697,0,9,11.8,0.394,9,21.8,7.4,22.2,5,452,44
"M0217",32931,-14688,0,9,11.5,0.339,9,20.3,7.1,19.3,4.2,439,38
"M0218",30821,-16798,0,9,11,0.378,9,20.5,7.7,21.4,3.4,405,42
"M0219",43818,-3801,0,9,13.1,0.39,10,20.2,8.8,25.2,4.1,467,42
"M0220",51950,4331,1,10,8.4,0.371,9,15.4,7.1,27.1,5,626,59
"M0221",28160,-19459,0,9,10,0.462,9,17.7,8.1,25,4.7,456,27
"M0222",57680,10061,1,10,11.5,0.403,9,22.4,4,27.4,4.3,577,36
"M0223",40496,-7123,0,9,11.4,0.416,9,23.1,6.8,22.7,5.3,467,31
"M0224",28002,-19617,0,9,9.7,0.35,9,22.5,6.4,20.2,4.9,447,44
"M0225",56317,8698,1,10,10.7,0.374,10,14.4,5.1,20.1,4.6,663,36
"M0226",70897,23278,1,10,11.2,0.315,9,17,4.8,31.7,4.2,627,63
"M0227",24443,-23176,0,9,11.9,0.405,10,22,7,21.4,4.4,495,41
"M0228",74736,27117,1,10,13.4,0.309,9,17.8,4.7,28,5.6,597,56
"M0229",41670,-5949,0,9,15.6,0.418,9,18.6,7.2,21.9,4.6,422,43
"M0230",53142,5523,1,10,9.3,0.377,9,19.2,6,24.3,5.1,642,60
"M0231",37434,-10185,0,9,9.1,0.404,9,18.9,7.4,24.6,4,266,38
"M0232",52397,4778,1,10,11.8,0.364,9,15.4,5.9,27.8,4.9,554,53
"M0233",21369,-26250,0,9,10.4,0.411,10,19.6,8,23.3,5.1,473,31
"M0234",73987,26368,1,10,13.4,0.297,9,18.5,4.9,25.8,5.1,619,46
"M0235",32988,-14631,0,9,9.3,0.393,9,22.2,8.5,19.8,3.7,498,45
"M0236",21779,-25840,0,9,8.7,0.44,9,21.4,7.5,25.2,3.7,449,25
"M0237",66048,18429,1,10,11.7,0.375,9,19.5,5.6,26,3.4,567,48
"M0238",55480,7861,1,10,12.9,0.408,9,16.6,5.7,26.8,4.7,607,52
"M0239",48884,1265,1,10,12.7,0.371,10,16.1,5.6,21.7,4.6,602,36
"M0240",37393,-10226,0,9,8.5,0.265,9,20.6,6.1,22.1,4.6,426,39
"M0241",38579,-9040,0,9,14,0.314,9,23.3,7.3,26.9,4.6,446,53
"M0242",52341,4722,1,10,17.5,0.338,9,19.1,6.7,26.3,4.1,503,44
"M0243",49769,2150,1,10,12.5,0.359,9,13.3,7.1,27.9,4.9,677,43
"M0244",53600,5981,1,10,14.1,0.271,9,18,6,23.9,3.8,647,46
"M0245",73876,26257,1,10,14,0.374,10,18.4,5.7,32,4.8,605,42
"M0246",73621,26002,1,10,16.4,0.332,9,16.2,6.8,21.8,4.9,594,56
"M0247",50976,3357,1,10,11.9,0.399,9,18.1,5.1,30.7,4.8,630,38
"M0248",70873,23254,1,10,15.5,0.206,9,16,5.5,32,5.3,603,52
"M0249",21279,-26340,0,9,10.5,0.395,9,16.8,6.6,28.4,4.8,440,29
"M0250",32252,-15367,0,9,8.6,0.406,9,22.1,7.1,22.1,4.3,488,34
"M0251",65932,18313,1,10,15.5,0.276,9,15.3,7.9,30.4,4.9,671,61
"M0252",27216,-20403,0,9,7.6,0.375,9,22.2,7.9,23.8,4.1,484,32
"M0253",52295,4676,1,10,13.3,0.287,9,19.8,5.5,23.8,4.1,561,46
"M0254",33863,-13756,0,9,15,0.268,9,21.9,5.9,20.6,5.3,438,40
"M0255",30882,-16737,0,9,10.2,0.407,9,21.4,5.5,14.1,4.8,453,31
"M0256",30496,-17123,0,9,11.4,0.392,10,22,5.6,20,3.6,437,55
"M0257",61144,13525,1,10,14,0.385,10,16.1,7.1,29.1,4.8,585,50
"M0258",52716,5097,1,10,11.5,0.345,9,19.4,4.8,26.2,4.8,585,47
"M0259",52946,5327,1,10,12.8,0.383,10,17.2,9.3,24.5,4.3,583,58
"M0260",72466,24847,1,10,15,0.296,9,17,5.4,30.2,4.8,649,54
"M0261",59964,12345,1,10,14.5,0.309,9,15.1,5.5,33.4,5.1,567,42
"M0262",43893,-3726,0,9,13.1,0.317,9,14,5.4,26.9,5.1,477,47
"M0263",72731,25112,1,10,14.2,0.21,9,13.1,5.7,28.9,4.6,680,51
"M0264",51675,4056,1,10,10.1,0.366,9,17.5,6.2,25.6,4.5,527,46
"M0265",73574,25955,1,10,15.9,0.314,10,16.6,6.5,26.1,4.7,559,47
"M0266",35013,-12606,0,9,10.5,0.28,9,19.5,6.4,25.6,4.7,505,32
"M0267",35200,-12419,0,9,8.7,0.428,9,20.3,5.9,20.7,4.7,506,38
"M0268",37530,-10089,0,9,11.6,0.282,9,19,7.6,21.4,4.6,504,40
"M0269",65722,18103,1,10,15,0.281,10,15.7,8.1,30.3,5.5,519,46
"M0270",37064,-10555,0,9,9.9,0.37,9,22.5,6.7,19.8,4.6,423,38
"M0271",35282,-12337,0,9,12.6,0.331,9,19.6,8.8,26.1,4.4,470,52
"M0272",61273,13654,1,10,13.4,0.261,9,15.7,5.8,25.3,5.4,660,38
"M0273",57723,10104,1,10,17.9,0.285,9,21.2,4.3,27.1,5,583,49
"M0274",46710,-909,0,9,8.3,0.362,9,16.9,6.2,27.1,4.9,543,46
"M0275",29457,-18162,0,9,12.5,0.426,10,20.1,7.7,21.9,4.1,443,42
"M0276",42920,-4699,0,9,11.2,0.361,9,22.8,5,28.2,4,502,48
"M0277",22188,-25431,0,9,10.9,0.435,9,23.2,7.2,21.4,3.8,501,22
"M0278",34672,-12947,0,9,11.6,0.372,9,18.4,6.1,21.3,5,466,34
"M0279",23691,-23928,0,9,9.1,0.414,9,21,9.9,21.1,4.6,418,35
"M0280",36955,-10664,0,9,12.2,0.412,9,21.1,7,25.7,3.2,400,41
"M0281",21261,-26358,0,9,7,0.376,9,19.3,8.1,23.1,4.5,421,31
"M0282",52160,4541,1,10,11,0.306,9,14.8,5,22.7,4.1,623,48
"M0283",43671,-3948,0,9,10.4,0.331,9,21.6,5.8,25,4.6,441,31
"M0284",65643,18024,1,10,13.6,0.256,9,19.4,5.3,27.4,4.4,689,49
"M0285",36768,-10851,0,9,10.2,0.278,9,20.1,7,22.5,3.9,538,34
"M0286",68565,20946,1,10,15.8,0.346,9,18,5.8,33.5,4.3,641,44
"M0287",65188,17569,1,10,13,0.275,9,15.8,7.2,25.7,4.4,580,41
"M0288",41229,-6390,0,9,11.5,0.42,9,19.2,8.6,20.8,4.3,444,42
"M0289",41575,-6044,0,9,10.8,0.31,9,22.7,8.2,23.1,4,426,27
"M0290",47891,272,1,10,13,0.397,9,19.4,6.7,28.2,4.7,587,33
"M0291",20817,-26802,0,9,11.3,0.343,9,20.6,8.8,21.1,5,460,43
"M0292",32453,-15166,0,9,9.2,0.324,9,20.9,9.1,25.1,4.6,494,43
"M0293",39268,-8351,0,9,10.8,0.388,9,19.2,8.9,24.7,5,404,34
"M0294",30239,-17380,0,9,10.2,0.393,10,19.6,6,18.9,3.9,513,44
"M0295",39965,-7654,0,9,11.7,0.262,9,23.9,6.8,32.4,3.6,448,34
"M0296",24274,-23345,0,9,13.3,0.443,9,22.4,8.1,25.9,4.6,474,34
"M0297",49873,2254,1,10,14.4,0.37,9,17.8,3.9,26.7,5.4,607,39
"M0298",73098,25479,1,10,10.5,0.381,9,17.5,4.8,25.3,4.9,536,55
"M0299",63374,15755,1,10,11.7,0.245,9,19.1,5.3,27.5,6.6,495,51
"M0300",47965,346,1,10,11.5,0.3,9,17.1,5.8,23.9,4.2,622,46
"M0301",56980,9361,1,10,11.1,0.342,9,14.8,6.4,31.3,4.7,527,51
"M0302",44349,-3270,0,9,14.7,0.323,10,18.9,5.2,27.6,4.8,474,34
"M0303",33222,-14397,0,9,12.6,0.328,9,28.5,7.8,22,4.2,440,36
"M0304",67240,19621,1,10,13.2,0.326,10,16.6,7.5,29.2,5.2,597,49
"M0305",55455,7836,1,10,11.9,0.331,9,13.5,7.1,25.6,4.4,669,50
"M0306",70429,22810,1,10,10.7,0.302,9,21.9,7,27.7,4.8,639,54
"M0307",28123,-19496,0,9,11.7,0.384,9,21.5,6,18.1,4,499,42
"M0308",60794,13175,1,10,13.3,0.244,9,19,3.8,21.4,4.9,535,53
"M0309",63919,16300,1,10,12.9,0.352,9,15.6,3.6,30.7,5.3,590,61
"M0310",41802,-5817,0,9,14.2,0.356,10,20.4,7.3,26.8,4.7,511,41
