"municipio","region","nordeste","poblacion","poblacion_c","umbral","concejo_grande","n_concejales","pib_pc","prop_pobres","bancas_2000","mortalidad_infantil","mortalidad_postneonatal","matricula_primaria","ideb","burocratas","proyectos_servicios"
"M0084","Nordeste",1,20969,-26650,47619,0,9,12.1,0.421,9,23.4,6.7,23.1,4.2,445,39
"M0085","Sudeste",0,57941,10322,47619,1,10,11.8,0.338,9,17.7,3.9,27.8,4.7,553,31
"M0086","Norte",0,46560,-1059,47619,0,9,14.6,0.298,9,19.2,7.3,22.2,4.3,492,52
"M0087","Sudeste",0,73666,26047,47619,1,10,13.6,0.284,10,15.6,9.2,28,4.8,575,51
"M0088","Norte",0,36934,-10685,47619,0,9,12.1,0.369,9,18,6.8,26.1,3.3,386,42
"M0089","Sudeste",0,26362,-21257,47619,0,9,10.7,0.29,9,18.1,9.2,27.5,3.6,418,38
"M0090","Sudeste",0,67232,19613,47619,1,10,14.1,0.191,10,19.6,6.6,24.6,5,533,45
"M0091","Sul",0,50354,2735,47619,1,10,11.4,0.283,9,17.7,8,26.8,4.6,607,40
"M0092","Sudeste",0,70002,22383,47619,1,10,14.1,0.319,9,14.2,4.4,27,4.9,625,46
"M0093","Centro-Oeste",0,54592,6973,47619,1,10,8.1,0.209,10,13.2,6.8,30.3,4.8,606,48
"M0094","Nordeste",1,22172,-25447,47619,0,9,9.1,0.499,9,19.9,6.8,26,4.2,371,34
"M0095","Nordeste",1,61139,13520,47619,1,10,14.8,0.386,9,16.7,5.2,27.6,4.7,600,53
"M0096","Nordeste",1,30079,-17540,47619,0,9,10.4,0.25,9,26,6.4,20.6,4.4,414,39
"M0097","Nordeste",1,60622,13003,47619,1,10,11.9,0.407,10,15.2,4.2,26.7,4,645,42
"M0098","Sudeste",0,47873,254,47619,1,10,15,0.312,9,16.7,7.4,33.7,4.6,615,42
"M0099","Sudeste",0,73561,25942,47619,1,10,11.7,0.301,9,18.7,5.5,28.4,5.5,607,60
"M0100","Sudeste",0,51380,3761,47619,1,10,11.8,0.352,9,16.9,4.5,21.3,4.6,612,50
"M0101","Centro-Oeste",0,35928,-11691,47619,0,9,11,0.264,10,18.4,5.5,23.5,4.3,522,34
"M0102","Sudeste",0,56883,9264,47619,1,10,9.6,0.315,9,14.5,6,29.8,4.9,562,44
"M0103","Sudeste",0,32206,-15413,47619,0,9,13.2,0.396,9,25.3,6.2,21.9,4.1,424,31
"M0104","Sudeste",0,49171,1552,47619,1,10,14.3,0.235,9,16.4,5.8,25.9,5,600,37
"M0105","Sudeste",0,34240,-13379,47619,0,9,8.8,0.353,9,19.7,6.6,22.9,4.7,514,40
"M0106","Sul",0,65349,17730,47619,1,10,12.8,0.389,10,18.6,4.5,29.4,4.5,601,47
"M0107","Sudeste",0,28365,-19254,47619,0,9,11,0.359,10,21.4,6.6,24.6,3.9,439,23
"M0108","Sudeste",0,23536,-24083,47619,0,9,14,0.39,9,16.3,7.2,24.9,4.6,411,49
"M0109","Norte",0,33638,-13981,47619,0,9,8.8,0.383,9,24.4,7.6,25.4,4.4,494,31
"M0110","Nordeste",1,64165,16546,47619,1,10,12.9,0.305,9,16.2,4.8,29.9,5,634,48
"M0111","Sudeste",0,24171,-23448,47619,0,9,9.1,0.418,9,21.4,7.8,19,4.7,416,29
"M0112","Sudeste",0,54081,6462,47619,1,10,13.6,0.249,9,19.4,5,25.4,4.8,563,42
"M0113","Centro-Oeste",0,64811,17192,47619,1,10,15.2,0.406,9,13.7,5.9,24.3,4.9,580,59
"M0114","Nordeste",1,24844,-22775,47619,0,9,10.5,0.373,9,19.7,5.9,17.5,3.9,551,47
"M0115","Nordeste",1,42304,-5315,47619,0,9,9.9,0.331,10,22.4,3.9,23.7,5.1,476,49
"M0116","Centro-Oeste",0,69684,22065,47619,1,10,15.4,0.338,9,14.3,5.7,26.3,4.2,567,49
"M0117","Sul",0,66279,18660,47619,1,10,15.3,0.334,9,19.6,6.6,28.7,4.8,652,56
"M0118","Sudeste",0,29251,-18368,47619,0,9,10.3,0.379,10,22.5,6.5,25,3.8,412,41
"M0119","Sul",0,46785,-834,47619,0,9,12,0.327,9,23.8,8,24.7,5,422,30
"M0120","Nordeste",1,34339,-13280,47619,0,9,10.8,0.396,9,19.2,8.3,25,4.2,442,45
"M0121","Sudeste",0,71943,24324,47619,1,10,15.5,0.323,10,14.3,5.6,32.6,5.2,590,46
"M0122","Nordeste",1,23494,-24125,47619,0,9,10.3,0.375,9,18.3,8.1,27.8,4.2,401,45
"M0123","Sudeste",0,64284,16665,47619,1,10,14.4,0.287,9,20.4,7.4,24.6,4.4,654,48
"M0124","Norte",0,26682,-20937,47619,0,9,12.3,0.383,9,19.2,9.8,21.2,5,523,50
"M0125","Nordeste",1,58766,11147,47619,1,10,15.5,0.369,9,19.4,5.4,27.5,4.4,607,51
"M0126","Sul",0,20859,-26760,47619,0,9,9.6,0.364,9,25.3,8.4,23.9,5,479,34
"M0127","Nordeste",1,51326,3707,47619,1,10,12.7,0.319,10,10.9,7.6,26,3.9,594,38
"M0128","Norte",0,64674,17055,47619,1,10,13.1,0.345,9,19.1,6.9,28,4.9,559,44
"M0129","Nordeste",1,72256,24637,47619,1,10,19.2,0.353,9,17.3,3.8,25.4,4.4,581,39
"M0130","Sudeste",0,74742,27123,47619,1,10,12.6,0.232,9,17.4,6.3,25.8,4,577,52
"M0131","Centro-Oeste",0,44680,-2939,47619,0,9,14.4,0.335,9,15.7,5.9,20.6,5.4,333,47
"M0132","Nordeste",1,20784,-26835,47619,0,9,10.6,0.405,9,20.3,6.2,22,3.7,417,44
"M0133","Sudeste",0,21265,-26354,47619,0,9,11.6,0.491,9,22.8,8,27.3,4.6,426,27
"M0134","Norte",0,44595,-3024,47619,0,9,12.2,0.374,9,18.7,7.6,29.7,4.2,519,33
"M0135","Sudeste",0,61942,14323,47619,1,10,14.7,0.381,9,17.8,6.1,22.7,4.4,692,43
"M0136","Sudeste",0,57375,9756,47619,1,10,12.1,0.244,9,16.9,4.5,29.4,4.4,599,41
"M0137","Sudeste",0,57869,10250,47619,1,10,13.1,0.361,9,21.4,7.5,28.1,3.6,636,40
"M0138","Sul",0,25081,-22538,47619,0,9,9.2,0.376,9,21.4,5.9,21.5,3.8,412,43
"M0139","Norte",0,20938,-26681,47619,0,9,10.9,0.399,9,20.4,8,24.6,4.4,437,33
"M0140","Nordeste",1,53030,5411,47619,1,10,14.4,0.338,9,22.3,7.4,25.7,4.6,597,43
"M0141","Nordeste",1,67907,20288,47619,1,10,9.7,0.189,9,15.4,6.7,26.3,3.7,586,53
"M0142","Nordeste",1,39265,-8354,47619,0,9,15,0.29,9,20.4,6.4,30,4.9,462,31
"M0143","Sudeste",0,26242,-21377,47619,0,9,13.2,0.434,9,19.1,6.4,22.3,4.2,381,34
"M0144","Sudeste",0,45522,-2097,47619,0,9,12.4,0.453,10,22,7.7,25.7,4.4,457,38
"M0145","Sul",0,53898,6279,47619,1,10,14.3,0.353,9,18.8,3.7,30,5.2,528,29
"M0146","Sul",0,74695,27076,47619,1,10,11.8,0.267,9,15.1,6.6,31.4,4.8,592,43
"M0147","Centro-Oeste",0,49150,1531,47619,1,10,13.2,0.269,9,15,6.2,25.2,5.1,662,51
"M0148","Nordeste",1,34342,-13277,47619,0,9,8.2,0.391,10,22.3,4.5,24.8,4.4,483,34
"M0149","Norte",0,51777,4158,47619,1,10,11.6,0.278,9,16.2,5.6,34,5.2,648,57
"M0150","Norte",0,40848,-6771,47619,0,9,7.5,0.307,9,17.6,8.5,23.9,4.6,449,50
"M0151","Sul",0,40748,-6871,47619,0,9,11,0.367,9,20.2,8.6,24.7,3.9,472,31
"M0152","Sudeste",0,44353,-3266,47619,0,9,9.9,0.332,10,20.8,6.2,19.8,5,475,40
"M0153","Sudeste",0,70731,23112,47619,1,10,14.6,0.247,9,15.9,4,27.1,4.5,663,43
"M0154","Sul",0,29978,-17641,47619,0,9,9.2,0.381,9,23.2,9.5,22.6,3.7,462,36
"M0155","Sudeste",0,61406,13787,47619,1,10,11.2,0.249,9,17.1,4,27,3.6,578,47
"M0156","Norte",0,44047,-3572,47619,0,9,12.3,0.334,9,24,6.9,23.4,4.2,434,39
"M0157","Sul",0,28219,-19400,47619,0,9,9.6,0.426,9,22.1,7.4,29.1,4.8,423,38
"M0158","Sudeste",0,20734,-26885,47619,0,9,11.1,0.359,9,21.9,8.7,25.4,4.2,382,31
"M0159","Nordeste",1,47844,225,47619,1,10,13.7,0.349,9,17.7,8.2,29.5,4.8,585,51
"M0160","Nordeste",1,29202,-18417,47619,0,9,11.3,0.408,9,20.3,9.1,24,3.3,394,39
"M0161","Norte",0,25879,-21740,47619,0,9,9.4,0.451,9,23.3,8,22.3,4.4,403,47
"M0162","Sul",0,62208,14589,47619,1,10,14.1,0.248,9,15.2,6.1,30.1,5,561,35
"M0163","Sudeste",0,66165,18546,47619,1,10,10.8,0.314,9,16.7,5.5,22.7,3.5,718,44
"M0164","Sul",0,29239,-18380,47619,0,9,10.4,0.388,10,16.8,6.9,28.5,4.7,415,18
"M0165","Sul",0,64341,16722,47619,1,10,8.6,0.36,9,15.3,7.1,37.1,5.1,573,52
"M0166","Nordeste",1,63919,16300,47619,1,10,16.3,0.361,9,22.5,4.2,29.7,5.3,559,40
"M0167","Sudeste",0,22179,-25440,47619,0,9,11.7,0.301,9,21.2,8,23.5,3.6,444,26
"M0168","Nordeste",1,54209,6590,47619,1,10,14,0.338,9,16.7,5.8,27.7,3.7,644,43
"M0169","Sudeste",0,50753,3134,47619,1,10,11.6,0.33,9,17.4,5,29.4,4.5,659,53
"M0170","Nordeste",1,41346,-6273,47619,0,9,14.4,0.331,9,23.9,6.1,20.8,4.1,523,43
"M0171","Norte",0,67658,20039,47619,1,10,12.1,0.239,9,21.8,5.8,22.3,4.8,608,54
"M0172","Sudeste",0,59237,11618,47619,1,10,8.4,0.331,9,19.7,4.1,32.4,5,601,50
"M0173","Sudeste",0,43512,-4107,47619,0,9,10.5,0.377,9,17.1,5.6,21.1,4.1,409,50
"M0174","Nordeste",1,64787,17168,47619,1,10,14.5,0.315,9,15.6,6.9,31.6,4.4,660,49
"M0175","Sudeste",0,41961,-5658,47619,0,9,11.8,0.216,10,22.7,7.3,22.9,4.7,452,32
"M0176","Sudeste",0,55037,7418,47619,1,10,14.6,0.424,9,15.2,4.2,33.6,4,539,52
"M0177","Sul",0,42051,-5568,47619,0,9,14.7,0.287,9,20.4,5.8,29.4,3.9,425,51
"M0178","Norte",0,20483,-27136,47619,0,9,11.6,0.436,10,23.7,8.8,22,4.2,470,39
"M0179","Centro-Oeste",0,63611,15992,47619,1,10,12,0.27,9,16.7,5.8,26.4,4.5,568,58
"M0180","Sudeste",0,51864,4245,47619,1,10,11.4,0.328,10,17.5,5,26.5,4.5,648,52
"M0181","Nordeste",1,26041,-21578,47619,0,9,10.1,0.405,9,23.2,6.3,23.2,4.5,514,32
"M0182","Nordeste",1,71060,23441,47619,1,10,12.8,0.3,9,17.6,6,30.6,4.5,717,51
"M0183","Sul",0,36561,-11058,47619,0,9,11.6,0.422,9,18.2,7.1,22.2,4.7,508,43
"M0184","Sudeste",0,60945,13326,47619,1,10,15,0.336,9,17.6,5,25.4,5,548,62
"M0185","Sudeste",0,33227,-14392,47619,0,9,9.6,0.314,9,18.3,7.4,16.4,3.4,389,34
"M0186","Sudeste",0,74679,27060,47619,1,10,14.6,0.35,9,19.1,5.7,29.5,4.4,585,55
"M0187","Sudeste",0,61475,13856,47619,1,10,10,0.329,9,12.9,5.9,24.3,4.2,651,47
"M0188","Sul",0,60882,13263,47619,1,10,13.4,0.318,9,17.1,7.5,27,4.5,600,45
"M0189","Nordeste",1,58941,11322,47619,1,10,10.9,0.398,9,15.2,6.6,28.1,4.9,576,44
"M0190","Nordeste",1,26918,-20701,47619,0,9,11.1,0.385,9,18.7,7.6,24.6,5.4,439,42
"M0191","Sudeste",0,21068,-26551,47619,0,9,11.5,0.349,10,20.4,7,23.4,4.1,541,42
"M0192","Nordeste",1,21478,-26141,47619,0,9,8.5,0.433,9,22.9,9.8,22.7,4.3,384,29
"M0193","Sudeste",0,26701,-20918,47619,0,9,9.7,0.459,9,19,5.8,23.7,5,434,46
"M0194","Sul",0,24452,-23167,47619,0,9,9.4,0.402,9,23.8,6.6,23.7,4,386,35
"M0195","Nordeste",1,26553,-21066,47619,0,9,11,0.409,9,19.9,7.6,26.5,3.5,450,40
"M0196","Sudeste",0,22396,-25223,47619,0,9,10.6,0.355,9,24.1,6.1,22.5,4.1,396,31
"M0197","Sudeste",0,46847,-772,47619,0,9,8.9,0.358,10,21.7,8,18.3,4.6,437,31
"M0198","Sul",0,46432,-1187,47619,0,9,10.3,0.387,9,22.1,7.4,23,4.7,490,31
"M0199","Nordeste",1,68138,20519,47619,1,10,15.5,0.311,10,15.4,7.6,32.3,5.1,612,52
"M0200","Nordeste",1,70362,22743,47619,1,10,14.1,0.254,9,14.4,4.3,28.7,4.5,564,45
"M0201","Centro-Oeste",0,74252,26633,47619,1,10,14.6,0.311,9,16.8,3.9,22,4.9,611,59
"M0202","Sudeste",0,21669,-25950,47619,0,9,8.7,0.408,9,16.9,6.8,21.6,4,518,27
"M0203","Centro-Oeste",0,56854,9235,47619,1,10,10.6,0.341,9,19.1,5.1,28.8,4.2,642,63
"M0204","Sudeste",0,26585,-21034,47619,0,9,6.9,0.379,9,19.2,9.3,22.5,4.2,475,31
"M0205","Nordeste",1,66836,19217,47619,1,10,13.7,0.215,9,17.7,6,30.6,4,575,44
"M0206","Norte",0,22043,-25576,47619,0,9,10.6,0.432,9,19.8,7.4,25.7,5.3,463,31
"M0207","Nordeste",1,50250,2631,47619,1,10,16.1,0.3,9,18.8,3.7,30.9,3.9,529,48
"M0208","Sudeste",0,42364,-5255,47619,0,9,14.1,0.379,9,20.8,8.6,32,4.6,409,35
"M0209","Nordeste",1,25659,-21960,47619,0,9,8.1,0.47,9,20,7.1,26.5,5.3,481,19
"M0210","Norte",0,66091,18472,47619,1,10,13.5,0.269,9,21.7,4.9,31.8,4.6,642,50
"M0211","Sul",0,55526,7907,47619,1,10,14.2,0.331,9,13.4,7.2,30.2,4.3,510,48
"M0212","Norte",0,69084,21465,47619,1,10,14.4,0.252,9,15,8.1,27.8,4.9,624,44
"M0213","Norte",0,43149,-4470,47619,0,9,12.4,0.334,9,23.4,6.3,25.6,4.8,463,47
"M0214","Sudeste",0,45376,-2243,47619,0,9,10.9,0.354,9,22.4,6.8,23.7,4,553,54
"M0215","Sudeste",0,68175,20556,47619,1,10,14.2,0.303,9,15.5,3.4,24.4,5.6,595,53
"M0216","Nordeste",1,44805,-2814,47619,0,9,11,0.31,9,20,9.2,23.2,4.2,433,44
"M0217","Sudeste",0,35794,-11825,47619,0,9,9,0.327,10,18.8,8.6,25.7,4.6,508,38
"M0218","Sudeste",0,64387,16768,47619,1,10,11.5,0.313,9,14.8,6.1,26.1,5,654,46
"M0219","Nordeste",1,27019,-20600,47619,0,9,11.8,0.383,9,18.2,7.5,22.7,5.2,433,43
"M0220","Norte",0,27979,-19640,47619,0,9,12,0.454,10,19.2,6.6,23.7,4.8,396,40
"M0221","Sudeste",0,25387,-22232,47619,0,9,12.4,0.345,9,20.9,7.1,23.4,4.3,421,40
"M0222","Nordeste",1,50635,3016,47619,1,10,9.7,0.308,9,18.2,8.2,24.5,4.7,595,52
"M0223","Sudeste",0,67832,20213,47619,1,10,15,0.333,9,19.5,7,30.8,4.7,618,60
"M0224","Nordeste",1,47316,-303,47619,0,9,15.5,0.37,9,20.7,8.6,23.9,4.9,513,37
"M0225","Nordeste",1,33291,-14328,47619,0,9,10.5,0.377,9,18.2,4.6,21,5.3,433,38
"M0226","Sudeste",0,67521,19902,47619,1,10,15,0.256,10,18.6,8,21.4,4.8,573,43
"M0227","Sul",0,46866,-753,47619,0,9,10.6,0.322,9,16.8,4.9,24.4,4.5,392,58
"M0228","Norte",0,72775,25156,47619,1,10,14.3,0.271,9,16.3,5.4,28.9,4.3,605,55
"M0229","Sudeste",0,34630,-12989,47619,0,9,13,0.386,10,17.1,8.6,23.6,4.6,498,23
"M0230","Nordeste",1,46378,-1241,47619,0,9,12.5,0.389,10,22,9.2,21.2,4.6,468,43
"M0231","Nordeste",1,21848,-25771,47619,0,9,10,0.408,9,24.2,7.8,23,5.2,366,38
"M0232","Sudeste",0,29889,-17730,47619,0,9,10.6,0.385,9,17.8,7.8,20.7,5.3,468,46
"M0233","Sudeste",0,73438,25819,47619,1,10,14.6,0.267,9,18,5,27.7,4.6,713,52
"M0234","Sudeste",0,35733,-11886,47619,0,9,9.3,0.333,10,23.3,6.3,24.6,4.3,400,34
"M0235","Norte",0,58605,10986,47619,1,10,11.8,0.28,9,15.4,4.9,34,4.3,594,56
"M0236","Norte",0,71197,23578,47619,1,10,14.1,0.2,9,19.2,5.1,24.7,4.1,608,51
"M0237","Sudeste",0,41757,-5862,47619,0,9,8.4,0.345,9,22.9,7.7,24.4,3.9,465,52
"M0238","Nordeste",1,27788,-19831,47619,0,9,9.4,0.372,9,23.8,7.6,16.9,5.4,466,45
"M0239","Sudeste",0,64981,17362,47619,1,10,18.4,0.206,9,14.4,4.7,28.1,3.9,632,49
"M0240","Sudeste",0,71519,23900,47619,1,10,14.4,0.235,9,18.4,5.7,28.5,5.1,639,45
"M0241","Sudeste",0,41747,-5872,47619,0,9,10.4,0.411,9,17.9,5.3,26.3,4,584,46
"M0242","Nordeste",1,22182,-25437,47619,0,9,12.5,0.269,10,20.4,9,18,4.2,440,31
"M0243","Sudeste",0,40418,-7201,47619,0,9,9.6,0.343,9,15.7,8.6,28.4,4.3,519,23
"M0244","Sul",0,42430,-5189,47619,0,9,11.8,0.325,9,17.4,4.4,24.6,5.1,492,41
"M0245","Sudeste",0,25289,-22330,47619,0,9,13,0.309,9,25.9,9.3,22.3,5,454,31
"M0246","Sudeste",0,27863,-19756,47619,0,9,12.5,0.388,9,22.7,6.7,23.3,4.1,444,36
"M0247","Sudeste",0,43199,-4420,47619,0,9,12.7,0.325,9,19.4,5.2,22.6,4.3,397,34
"M0248","Centro-Oeste",0,65252,17633,47619,1,10,14,0.366,9,17,3.2,25.3,4.3,637,51
"M0249","Norte",0,33112,-14507,47619,0,9,9.2,0.411,10,22.8,7.3,23.6,5,499,44
